"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF668",98.4334347624671,-1.26446801718878,0.175218461937792,-7.2124008190288,5.497387035687e-13,2.09415356355191e-10
"FAM183B",42.0590582821046,-2.3133615578531,0.319426597399452,-7.18732826528887,6.60714267052524e-13,2.46446421610592e-10
"ZNF480",464.289744417842,1.27985342983587,0.179455276698246,7.12999683648312,1.00371234220855e-12,3.66744199487793e-10
"LOC100505715",56.1709600905854,1.94946535586946,0.274058324570806,7.07140421184368,1.53373658438496e-12,5.49200396136565e-10
"TMEM69",542.776107152867,1.03656494228741,0.146717495917314,7.06407252866601,1.61692280237873e-12,5.67635016740957e-10
"ATG2A",2500.23263176973,-1.881404471806,0.268724226136694,-7.00151632275105,2.53206923081354e-12,8.55361651103502e-10
"CR2",174.129930939127,2.26788645871943,0.323925622151014,6.98879457630926,2.77258025666489e-12,9.19264387320892e-10
"LDHAL6A",128.432852678371,1.53494691698116,0.221886830089085,6.90839614456529,4.90163629505221e-12,1.56712314690384e-09
"ZNF470",144.567674975731,1.93125061054836,0.279397120002546,6.89818437022239,5.26713607802422e-12,1.65443516387624e-09
"TIPARP",3742.28750748577,-1.20226662476503,0.174530496665554,-6.88854663543151,5.63652567928944e-12,1.73993716831031e-09
"SRGAP2B",2826.91934655336,-1.54256323371067,0.224440602967292,-6.87287353949098,6.29213430952545e-12,1.87757287796239e-09
"GRPEL1",1638.18027213574,-1.26658280465451,0.184732215587936,-6.85622226555199,7.07053413484985e-12,2.07525972377626e-09
"ZFP3",613.154655927497,1.67773293141365,0.244927237212085,6.84758300804398,7.51081128838086e-12,2.1689284726963e-09
"ZNF135",57.4035130988013,2.01667605621805,0.293376553084092,6.83470710386095,8.21727438272765e-12,2.33527111981517e-09
"PI4K2A",986.795392163859,-1.3217933135115,0.194049286344895,-6.81129355264365,9.67250293569354e-12,2.66425373170242e-09
"REXO1",358.705051955348,-1.26952815914818,0.18635290239582,-6.81143789389666,9.66280121438543e-12,2.66425373170242e-09
"PREPL",745.636811913294,1.39172919765315,0.205026842625485,6.78670722065267,1.14721685119364e-11,3.06563738862254e-09
"CDK17",6154.08543668182,-1.19809401045786,0.17788740566574,-6.73510026747766,1.63816927721867e-11,4.31320334401809e-09
"ZNF559",659.420322897753,1.42788287773497,0.212208899456723,6.72700450956418,1.73191375375488e-11,4.4297405496039e-09
"SFXN2",167.458015339595,1.41267066250921,0.210087061665069,6.71788946919704,1.84375458624534e-11,4.64937776227274e-09
"FAM46A",7995.82368855263,-1.86871974396677,0.279072553738207,-6.69683395438283,2.12983388406405e-11,5.29618692503928e-09
"GTF2F1",1419.00023338826,-1.05172708564659,0.157316706589532,-6.68525906904998,2.30516477292136e-11,5.65365343758684e-09
"ZBTB17",693.171387692249,-1.46936791510117,0.220186324001758,-6.67267378717622,2.5118432222711e-11,6.07730284480293e-09
"FASTKD5",2180.63332775334,-1.03556133051703,0.155304610224826,-6.66790552340434,2.59479720917672e-11,6.12084963178096e-09
"ZNF585A",624.201367760689,1.0576853636017,0.158604113832697,6.66771223152264,2.59821588480425e-11,6.12084963178096e-09
"ZBTB43",4199.80091512274,-1.50869311586103,0.226371057875628,-6.66470595674451,2.65195767321092e-11,6.16631820534652e-09
"UNC93B1",3117.79280668488,-1.76841069302733,0.267591228845281,-6.60887962390865,3.87239426365401e-11,8.66641836205768e-09
"NFKBIB",947.487422111299,-1.00878336536133,0.152698652510635,-6.60624015435004,3.94203231841208e-11,8.71335143566047e-09
"NUP43",793.254743811504,1.69688266593075,0.257021447786548,6.60070893571363,4.09196240682364e-11,8.93445060143543e-09
"LCN10",55.5482700668573,2.31207477684098,0.348291075330295,6.59007167584218,4.39614291631183e-11,9.37006461591037e-09
"MRS2P2",53.3104778203105,-1.99372868351386,0.301583277041377,-6.59045920081545,4.3846828250261e-11,9.37006461591037e-09
"C16orf87",530.923039746687,-1.06055274569289,0.161081482514971,-6.58366584173921,4.58988082745696e-11,9.55549143427785e-09
"OGFR",1641.26450676376,-1.50847154196523,0.229110557959363,-6.58385920059817,4.58391246362416e-11,9.55549143427785e-09
"CD200",123.337031495881,2.50470560076628,0.38176126735981,6.54506533243579,5.94693820484338e-11,1.20663235049396e-08
"WASL",563.027965341178,-1.024691925359,0.156582095474632,-6.54378461730213,5.99811657696393e-11,1.20663235049396e-08
"PIM3",2086.58726251778,-1.86022474260258,0.284497676665321,-6.53907828554429,6.18991200133875e-11,1.21784818101065e-08
"ZNF404",65.8086958776061,2.13158656393224,0.324265971683075,6.5349671741063,6.36234942145032e-11,1.23816852219181e-08
"DDX49",452.288424008714,-1.18138073542485,0.181609588603976,-6.50455261106995,7.7924941610163e-11,1.48747045297804e-08
"E2F5",133.719704096181,1.86431035137038,0.286086921712286,6.50422387172297,7.80955219950492e-11,1.48747045297804e-08
"GRIN2C",88.4323019059157,-1.53298557125241,0.235592467109842,-6.50062455190302,7.99872322965554e-11,1.50746463898687e-08
"DRAP1",2174.99202576197,-2.01234400987152,0.30993056347715,-6.49417163879721,8.34915178446248e-11,1.55711680780225e-08
"MSX2P1",48.5287923942901,1.77346250983463,0.271641366563825,6.49073286175125,8.54198250987572e-11,1.57665623563727e-08
"FUT4",1813.08075476417,-1.42101947295071,0.219048275168288,-6.48712791973241,8.74880560348837e-11,1.59835321964139e-08
"SNORA76A",28.2087472896386,-1.76805632453568,0.271289778863307,-6.48097039787841,9.11345530174619e-11,1.64815458305519e-08
"C1orf74",433.043093142611,1.7294999325793,0.267137771432976,6.47124736422198,9.71971623966877e-11,1.7402179955503e-08
"HIF1A",23420.2803744134,-1.60256059692342,0.247747097020362,-6.46875916437073,9.88109329551353e-11,1.75159499369182e-08
"LINC00339",472.355290162531,1.02302084241253,0.15818103064026,6.46634502686469,1.0040169221992e-10,1.76234499755436e-08
"XAB2",1080.41735750075,-1.29380001643651,0.200450244393022,-6.454139807983,1.08835302116053e-10,1.87364158565944e-08
"METRNL",249.190281273173,-1.71150891514209,0.265380766673699,-6.44727937395126,1.13875763997864e-10,1.92342611190354e-08
"CXCR6",130.040907921643,1.85109192739694,0.286953458305604,6.43757146468494,1.21400169716308e-10,1.98515066311235e-08
"LCMT2",117.375038349091,1.42756010139232,0.221388975765749,6.43883388227615,1.20394876814416e-10,1.98515066311235e-08
"MTSS1L",79.435833017804,-1.55319444452983,0.240880004257495,-6.43733561579742,1.21588889224575e-10,1.98515066311235e-08
"SESN2",1039.8299903801,-1.83855215826926,0.286278510347502,-6.42254835903831,1.34011656085916e-10,2.16157179329932e-08
"CDK16",2896.66909037992,-1.3099462685906,0.204465465686469,-6.40667677983416,1.48725644946352e-10,2.37748566707097e-08
"UBXN6",659.020106172081,-1.21097446696059,0.189419417362684,-6.39276951479303,1.62907731389932e-10,2.5811504626596e-08
"SNX22",222.477171175291,1.79613523402094,0.280925348524408,6.38767591374929,1.68425808402856e-10,2.62217015099542e-08
"TCL1A",307.005333179755,2.5147637022434,0.394204885521983,6.38786709518389,1.68215434792948e-10,2.62217015099542e-08
"NR4A3",143.646914725747,-2.18549275374959,0.342924598646354,-6.36801764140908,1.91486897495884e-10,2.92533540363164e-08
"TSC22D2",1700.81041695057,-1.25760293145582,0.197517637972652,-6.36696889426268,1.92800255601281e-10,2.92533540363164e-08
"ZNF598",301.923206249791,-1.1830316691294,0.18622606379912,-6.35172516352795,2.12913475975921e-10,3.20336375955706e-08
"HIC1",20.0441573717038,-2.82233047961846,0.430592986082273,-6.33138049575189,2.42977324202694e-10,3.59526116737605e-08
"GBAP1",238.531162151953,1.36846776801882,0.216247768375423,6.32452542658482,2.5401202574277e-10,3.69742382837281e-08
"RNF138",6722.67923419651,-1.13499100001067,0.179637361348174,-6.31822288065946,2.64588234662052e-10,3.82031270434628e-08
"ZNF471",38.3826512912879,1.77610875772333,0.279958738807559,6.29953266229007,2.98544389101735e-10,4.20877066336808e-08
"CENPQ",127.860919103384,1.47760404127282,0.234531789439022,6.29193721781632,3.13528296634116e-10,4.3854770491697e-08
"MMACHC",87.3350256496297,1.54503189902262,0.245232529215022,6.28759370307891,3.22424404748057e-10,4.4749508082242e-08
"SART1",1688.23193766795,-1.06280701087185,0.169082482808291,-6.28565572838817,3.26472711906618e-10,4.49628264152007e-08
"REC8",3680.89080488459,-1.32985510240161,0.211639950986777,-6.28355509362992,3.30916861535619e-10,4.5226988465143e-08
"FBXO33",4024.63329062986,-1.11972401737121,0.178253861179712,-6.28159574623882,3.35115310397911e-10,4.54538221012439e-08
"TREX1",1015.88509675868,-2.06849516314792,0.330002824184628,-6.26982481849664,3.61454529207581e-10,4.82946409771084e-08
"PIGM",396.88476757368,1.10204168248717,0.176050006771019,6.2584843019245,3.8873701799927e-10,5.15551671871032e-08
"LACTB2",102.501271655983,1.31404761896586,0.209913090289304,6.25197139612676,4.05303638621992e-10,5.33570319550599e-08
"CIC",1507.97888635949,-1.120954561801,0.179641791880915,-6.2398541493537,4.3797907541947e-10,5.59721640762397e-08
"IGIP",310.354239199899,1.85043202175674,0.296325325892189,6.23989156194543,4.37874336037919e-10,5.59721640762397e-08
"MANEA",559.023507462091,1.14401461137134,0.183247879995957,6.24194272822622,4.32169203129838e-10,5.59721640762397e-08
"SEMA3B",180.298749384813,-2.0475685272485,0.32807600347031,-6.23884995464961,4.40799549528027e-10,5.59721640762397e-08
"CLCF1",185.623282878956,-1.71224549894233,0.274339390020011,-6.23763515715514,4.44235244115948e-10,5.60111817651544e-08
"ZNF544",404.085679301927,1.12656994784827,0.180754494255204,6.23097458708728,4.63542306113852e-10,5.80367933472895e-08
"MAPK6",2094.38268903812,-1.17933258921161,0.189969763495792,-6.20791434131736,5.3692401399079e-10,6.58430653869254e-08
"SCARF2",25.0334335468214,-1.82729028253191,0.293397870218502,-6.17912092943196,6.44595082053739e-10,7.74552372422157e-08
"GIN1",267.83926055251,1.23496000892086,0.200082629231848,6.16957070894152,6.8475649471139e-10,8.13579246135091e-08
"TRMT13",743.234087984875,1.24589998499153,0.201919440846279,6.16924644274577,6.86162121125998e-10,8.13579246135091e-08
"MIR199A1",30.1305766225803,-2.68806311319933,0.430410734738547,-6.16490319614939,7.05262722294998e-10,8.25295671893441e-08
"IDH3G",933.46992397955,-1.11127152843387,0.180545017366627,-6.15492611617397,7.51125043166441e-10,8.67080178523418e-08
"MKS1",161.08640442949,1.21518675597772,0.197270003057956,6.15546450898885,7.48577591747773e-10,8.67080178523418e-08
"P2RX5",391.425632803537,2.01463678149194,0.327268765515658,6.15400587928574,7.55498815067322e-10,8.67080178523418e-08
"DUSP8",68.1983715204258,-2.19643464844528,0.3559978850354,-6.15298601493162,7.60375128687711e-10,8.67118235925145e-08
"C14orf119",589.769429533945,1.11878723280556,0.181941652410425,6.14826178548604,7.83366661739851e-10,8.87683336189259e-08
"ERCC6L",63.4893136566673,1.3565887771367,0.220237207593936,6.14459827775982,8.01661428843136e-10,9.02701020252045e-08
"GNA15",667.960772619654,-1.45377903021754,0.236678019654941,-6.14201093136726,8.14832486119698e-10,9.11797551967943e-08
"RPL13AP6",18.1400567457462,-2.13092841490342,0.341839181623793,-6.14055793370777,8.22321366071042e-10,9.14462219759996e-08
"ARHGDIA",2683.45177932268,-1.43541600651688,0.233801669000812,-6.13947109572816,8.27966871415587e-10,9.15056720112634e-08
"TGFB1",4793.88064574556,-1.17457391003006,0.191477040650843,-6.13427020716932,8.55510041480474e-10,9.39696428384442e-08
"DGCR14",605.680836245951,-1.363423443601,0.222468852716048,-6.12803516391078,8.89709254918734e-10,9.713021036625e-08
"UBA6-AS1",293.934992623739,1.17273476778621,0.19144566606087,6.12338791704343,9.16063026147818e-10,9.91315897217707e-08
"WNT16",38.3347828386755,1.90927751963053,0.309081209911637,6.12285809029939,9.19115498984246e-10,9.91315897217707e-08
"LOC100506321",252.872822860725,-1.6295309945642,0.266773617655867,-6.10698966950766,1.01527807587961e-09,1.08847536949392e-07
"THAP2",203.797962000998,1.18703393880181,0.194457747371226,6.10105796485466,1.05368684880467e-09,1.12292912744041e-07
"ABCB4",68.4024159522056,1.75563384236504,0.28693556617137,6.09725171236378,1.07907535527122e-09,1.14318137046011e-07
"C15orf39",7161.48294053106,-1.50894813989558,0.24773163816958,-6.0912079305298,1.12061884717797e-09,1.16758102437805e-07
"FAM111B",99.4433064587847,1.61723419717025,0.264984570831915,6.09012975251865,1.1281921202938e-09,1.16758102437805e-07
"GIMAP7",2901.71576465108,1.68006170792841,0.275778659220853,6.09213921477315,1.11411729078897e-09,1.16758102437805e-07
"NAB2",666.956575928486,-2.27491260160244,0.374015061479633,-6.09066593309161,1.12441969657912e-09,1.16758102437805e-07
"SH3BP1",832.544046986789,-1.42051691058699,0.233455874906409,-6.08430986156414,1.16994149201374e-09,1.20382945247207e-07
"MRPS31",556.217543996058,1.18905693001865,0.195460030345809,6.08208380841809,1.1863052691271e-09,1.21369197362581e-07
"CLIP2",311.24187871831,-1.33997816742886,0.220593953137341,-6.07346023534024,1.25183008743832e-09,1.26625795963253e-07
"UMPS",462.034453075876,1.11264357659769,0.18332398181846,6.06807358616874,1.29453593712199e-09,1.30209951787821e-07
"CBY1",179.088563954989,1.37427991321491,0.226578019468054,6.06000479911275,1.3611748727876e-09,1.35391527346607e-07
"ZNF691",188.355612503897,1.18196117226652,0.195657252943585,6.0372885597485,1.56725317877275e-09,1.54639728800116e-07
